0	0
a	0
b	0
c	0
x1	0
x2	0
x3	0
x4	0
x5	0
x6	0
1	1
a	0.000880492572209632
b	0.000208338284647736
c	8.56228482429574E-08
x1	8.0866525E+02
x2	1.2331332e+08
x3	8.0029080e+05
x4	7.0000000e+00
x5	1.78
x6	2.40
2	2
a	0.000880492572209632
b	0.000208338284647736
c	8.56228482429574E-08
x1	6.0471610e+02
x2	1.2332710e+08
x3	8.0017481e+05
x4	7.0000000e+00
x5	1.78
x6	2.45
3	3
a	0.000880492572209632
b	0.000208338284647736
c	8.56228482429574E-08
x1	6.2909198e+02
x2	1.2332627e+08
x3	8.0041616e+05
x4	7.0000000e+00
x5	0
x6	0
4	4
a	0.000880492572209632
b	0.000208338284647736
c	8.56228482429574E-08
x1	6.9102580e+02
x2	1.2332879e+08
x3	8.0005588e+05
x4	7.0000000e+00
x5	0
x6	0
5	5
a	0.000880492572209632
b	0.000208338284647736
c	8.56228482429574E-08
X1	7.3008921e+02
X2	1.2332288e+08
X3	7.9988026e+05
X4	7.0000000e+00
X5	1.775
X6	1.696
